,R_Optimal,R_Output,R_model,inp_config,out_config
21,4.85959182908319,10.308349659829608,11.036495208740234,[ 3.  7.  2.  1. 10. 13.  9.  5.  4. 12. 14. 11.  6.  8.  0.],"[3, 8, 7, 9, 1, 13, 4, 10, 11, 0, 12, 14, 6, 2, 5]"
22,5.314485254258749,10.69178621745921,12.029112815856934,[ 7.  9.  1.  5. 12. 10.  6. 11.  3.  8. 14.  2.  4. 13.  0.],"[12, 2, 4, 1, 7, 13, 5, 0, 6, 10, 8, 9, 14, 3, 11]"
23,4.499350270208092,11.214577429560418,11.175150871276855,[ 8. 14.  6.  4. 13. 10.  3. 12.  5.  9. 11.  1.  7.  2.  0.],"[1, 2, 5, 13, 7, 6, 11, 12, 9, 10, 3, 4, 14, 8, 0]"
24,5.045169027071253,10.879454522681833,10.320931434631348,[ 5. 13.  7. 10.  9.  2.  6. 12.  3. 11.  4. 14.  8.  1.  0.],"[6, 0, 2, 9, 10, 8, 5, 13, 1, 7, 3, 12, 14, 4, 11]"
25,3.9257095841362872,9.765835407351272,10.909303665161133,[ 6. 14.  5. 12.  3.  7. 10.  2.  8.  4. 11. 13.  9.  1.  0.],"[10, 12, 4, 9, 11, 3, 7, 2, 5, 14, 8, 13, 6, 0, 1]"
26,4.870211201454141,10.972399824668248,11.289969444274902,[ 8.  1. 11.  7.  9. 13. 12. 14.  2.  4.  3.  5. 10.  6.  0.],"[0, 1, 13, 8, 6, 12, 3, 7, 11, 10, 14, 9, 5, 4, 2]"
27,5.1796492195947135,11.57249231167697,11.204851150512695,[ 5.  9. 13. 14.  1. 12. 10.  8.  3.  7.  2. 11.  4.  6.  0.],"[1, 10, 3, 8, 14, 11, 13, 9, 7, 5, 12, 2, 0, 6, 4]"
28,4.757441445927888,8.729919125507239,10.432844161987305,[ 1.  2. 11. 10.  8.  4.  6. 14.  3.  9. 12.  7.  5. 13.  0.],"[11, 10, 3, 13, 1, 8, 6, 4, 0, 2, 14, 5, 7, 9, 12]"
29,4.376718354186535,11.275479835078263,11.5386962890625,[ 0.  4. 10.  1.  9.  6. 13. 11.  3.  2. 14. 12.  8.  7.  5.],"[7, 3, 8, 12, 13, 14, 2, 5, 11, 6, 9, 0, 1, 10, 4]"
30,3.9589468372996817,8.878047023042408,10.889026641845703,[ 5.  7.  3.  8.  4. 14. 10.  1. 11. 12.  2.  6.  9. 13.  0.],"[11, 1, 4, 14, 10, 2, 7, 8, 13, 12, 3, 5, 6, 9, 0]"
31,4.021303202569518,8.51899686914149,9.216703414916992,[10.  3. 12.  7.  2. 11. 13. 14.  4.  8.  9.  6.  5.  1.  0.],"[3, 6, 8, 4, 14, 9, 13, 10, 0, 12, 11, 5, 7, 2, 1]"
32,4.555522497341259,10.100630299507968,9.884258270263672,[ 0.  6.  7. 11. 12.  2.  3. 10.  9. 13. 14.  1.  5.  8.  4.],"[13, 9, 3, 14, 10, 4, 1, 0, 6, 8, 2, 5, 7, 12, 11]"
33,4.578774225698513,10.41273102945731,10.390443801879883,[ 3. 11.  7.  5. 14.  4.  6.  1.  9.  2. 13.  8. 12. 10.  0.],"[8, 12, 2, 13, 9, 14, 5, 1, 7, 3, 6, 11, 0, 4, 10]"
34,4.0631783133056585,10.980353489739072,9.196723937988281,[10.  5. 12. 14.  2.  3.  6.  1.  4.  7. 11. 13.  8.  9.  0.],"[11, 13, 12, 5, 10, 3, 2, 0, 4, 9, 7, 1, 8, 14, 6]"
35,4.414956305110546,11.164615046179147,11.220483779907227,[10.  3.  7. 12.  6.  4. 13.  9.  2.  8. 11.  1. 14.  5.  0.],"[4, 0, 1, 13, 11, 9, 14, 3, 5, 6, 8, 12, 10, 7, 2]"
36,4.967090259017816,10.426319082722927,10.684915542602539,[ 3.  5. 13. 12.  4. 14. 10.  9.  1.  8.  2.  6. 11.  7.  0.],"[12, 6, 14, 11, 8, 2, 1, 0, 3, 7, 13, 5, 10, 9, 4]"
37,4.4712713967133615,10.289463537518836,10.385401725769043,[13.  6.  3.  4.  8. 10.  2.  5. 11.  9. 14.  7.  1. 12.  0.],"[11, 3, 2, 4, 9, 1, 5, 14, 6, 8, 0, 10, 12, 13, 7]"
38,4.042746113409752,10.943492581535773,11.473103523254395,[ 5. 11.  7.  9. 12.  6. 14.  3.  2.  4.  1. 10.  8. 13.  0.],"[8, 12, 0, 2, 9, 13, 10, 6, 14, 3, 7, 1, 4, 11, 5]"
39,4.58668646111491,10.320613844775238,10.791223526000977,[10.  5. 12.  8.  1. 13.  6. 14. 11.  2.  9.  3.  4.  7.  0.],"[12, 10, 0, 5, 13, 7, 1, 8, 6, 4, 9, 11, 3, 14, 2]"
40,4.098670721975809,10.910627398436763,11.790196418762207,[ 0. 11.  5.  7.  9.  4. 12. 13.  3.  6. 10.  2. 14.  1.  8.],"[2, 13, 14, 9, 8, 1, 11, 10, 7, 4, 5, 0, 6, 12, 3]"
41,4.435154926393796,10.907322956723581,12.039117813110352,[ 1.  9.  5. 10.  7. 11. 12.  4.  8. 14.  2.  6. 13.  3.  0.],"[3, 11, 10, 6, 0, 1, 13, 7, 5, 8, 2, 12, 9, 4, 14]"
42,3.7800005133776238,8.892325490597404,10.73681926727295,[ 4.  9. 14.  7. 10.  6.  3. 13.  2.  5. 12. 11.  8.  1.  0.],"[8, 1, 5, 14, 9, 12, 0, 4, 11, 13, 2, 10, 6, 7, 3]"
43,4.072799970653154,10.54029142626534,10.898681640625,[ 4. 10.  9. 14. 12.  3.  1.  6.  8.  5. 13. 11.  2.  7.  0.],"[8, 6, 10, 1, 14, 9, 13, 4, 11, 3, 5, 0, 12, 7, 2]"
44,5.268450293014985,13.747975596808748,12.324270248413086,[ 9. 14. 12.  3. 13.  8. 11.  4.  2.  7.  1. 10.  6.  5.  0.],"[6, 14, 9, 5, 4, 13, 1, 8, 10, 2, 0, 12, 7, 11, 3]"
45,4.4889916357203905,12.462549744945745,12.211265563964844,[13. 11.  7.  9. 10.  5. 14. 12.  3.  1.  6.  4.  2.  8.  0.],"[7, 12, 9, 13, 11, 2, 1, 8, 5, 0, 4, 10, 14, 3, 6]"
46,4.580553914379983,10.175584346531714,11.029459953308105,[ 6. 13.  3.  9. 11.  1.  7.  4. 12. 10.  2. 14.  5.  8.  0.],"[9, 10, 12, 6, 11, 1, 13, 3, 0, 7, 4, 14, 2, 8, 5]"
47,5.260835910238744,10.497824654293103,10.829875946044922,[ 8. 12.  6.  5.  9.  4. 13. 10. 11.  7.  3. 14.  1.  2.  0.],"[12, 9, 2, 1, 0, 8, 14, 10, 6, 5, 3, 7, 13, 11, 4]"
48,4.983782171583109,10.629654785181277,10.269844055175781,[10.  5.  9.  8.  3.  7.  2.  6. 13.  1. 14. 12. 11.  4.  0.],"[2, 5, 4, 12, 14, 11, 3, 0, 1, 13, 9, 6, 10, 8, 7]"
49,4.238903536459514,8.773615088395097,9.85897445678711,[ 2.  4.  5.  3. 12. 14.  9.  1. 13.  6. 11.  8.  7. 10.  0.],"[14, 6, 9, 1, 7, 11, 12, 13, 5, 4, 10, 0, 2, 8, 3]"
50,4.937736508368198,10.301938591039821,11.52762508392334,[ 5.  2.  6.  1. 14.  3. 13.  7. 11.  4.  9. 10. 12.  8.  0.],"[0, 9, 8, 1, 12, 14, 10, 5, 6, 7, 2, 4, 11, 3, 13]"
51,3.9655934865002793,11.572193614701256,10.691780090332031,[14.  4.  8.  9. 13.  5.  2.  7. 10.  3.  1. 12.  6. 11.  0.],"[12, 13, 8, 2, 9, 10, 4, 6, 7, 1, 5, 14, 11, 0, 3]"
52,5.251487352981897,12.43383301699295,11.981489181518555,[ 0.  5.  3.  4. 10. 11. 14.  8.  6.  9.  1. 12. 13.  7.  2.],"[8, 1, 14, 9, 11, 7, 6, 13, 12, 0, 10, 4, 2, 3, 5]"
53,3.90525939141303,8.869085328798185,9.039154052734375,[12.  9.  6. 14. 10.  2.  1. 11.  4.  7. 13.  5.  3.  8.  0.],"[13, 5, 7, 1, 2, 4, 11, 12, 0, 14, 10, 8, 9, 6, 3]"
54,4.388322245491364,9.43054578822616,11.13886833190918,[ 2.  5. 14.  9.  7.  3.  1.  6.  4. 11. 13. 12.  8. 10.  0.],"[12, 1, 6, 10, 8, 3, 13, 9, 7, 14, 4, 11, 5, 0, 2]"
55,5.166439570179886,11.002144558704183,10.523622512817383,[ 8.  7. 10.  2.  1. 12.  5.  4. 11. 14.  9.  3. 13.  6.  0.],"[14, 0, 3, 6, 13, 10, 7, 8, 12, 2, 9, 1, 11, 4, 5]"
56,4.504783690625369,10.868042427129458,9.793830871582031,[ 7. 11.  5. 14.  2.  6.  9. 12.  4.  3.  8. 13.  1. 10.  0.],"[0, 11, 1, 7, 14, 5, 2, 10, 3, 8, 13, 4, 12, 9, 6]"
57,4.330978098442712,10.860343310199768,9.71363353729248,[ 5.  6.  8. 11. 12. 14.  7. 10.  4.  1.  9. 13.  3.  2.  0.],"[6, 12, 13, 0, 11, 8, 9, 5, 2, 1, 4, 10, 7, 3, 14]"
58,4.308022117131598,10.218297610619562,11.550334930419922,[ 6.  4.  9.  8.  7.  1. 14.  5. 11. 10.  3. 13. 12.  2.  0.],"[8, 14, 13, 7, 12, 4, 11, 10, 9, 2, 3, 0, 5, 1, 6]"
59,4.696014854558569,9.675180070997985,11.087163925170898,[ 9. 10.  2.  8.  7. 13. 14.  4. 12.  5.  1.  6.  3. 11.  0.],"[11, 9, 10, 14, 13, 3, 1, 4, 0, 2, 8, 7, 6, 5, 12]"
60,4.344691963612793,8.814047211711399,10.683449745178223,[ 1. 13.  4.  3. 14.  8. 12.  7.  9.  5. 10.  6.  2. 11.  0.],"[6, 2, 14, 3, 10, 5, 8, 0, 13, 12, 4, 7, 9, 1, 11]"
61,4.734944917945644,9.830994879562233,10.291229248046875,[11.  5. 12. 14.  9.  2. 10.  6.  7.  8. 13.  4.  3.  1.  0.],"[13, 4, 8, 7, 14, 6, 12, 9, 2, 11, 10, 5, 0, 1, 3]"
62,4.595872472019104,12.48454311465311,12.326567649841309,[ 5.  8. 11.  7. 10.  6.  4.  3. 12.  2. 13. 14.  1.  9.  0.],"[9, 14, 13, 12, 0, 3, 2, 10, 6, 8, 5, 11, 1, 7, 4]"
63,4.187706360908031,9.603821256813294,10.325663566589355,[ 4. 11. 13.  1.  8.  7.  5.  9.  6.  3.  2. 14. 12. 10.  0.],"[0, 4, 3, 11, 2, 9, 14, 5, 7, 8, 6, 1, 13, 10, 12]"
64,4.558698367824391,10.852587565961198,10.055828094482422,[13.  9. 12.  3. 14.  6.  5.  4. 10.  1.  7.  2.  8. 11.  0.],"[1, 8, 4, 11, 2, 13, 5, 10, 6, 14, 7, 9, 0, 12, 3]"
65,4.577665374032443,9.641000863896679,11.070263862609863,[ 4.  2.  6.  1.  5.  9. 13. 12. 11. 14.  3.  7.  8. 10.  0.],"[6, 10, 9, 13, 1, 5, 8, 7, 2, 11, 12, 3, 14, 4, 0]"
66,4.301392813784543,9.9383348405423,10.582783699035645,[ 0.  3.  8.  6.  1.  9. 11.  5.  2. 12. 13. 14.  7.  4. 10.],"[7, 9, 6, 0, 4, 10, 3, 1, 5, 14, 8, 12, 13, 2, 11]"
67,3.604765885748256,11.257283171928398,10.765425682067871,[ 4.  6.  2.  9. 14. 12.  1. 13.  3.  5.  7.  8. 10. 11.  0.],"[3, 0, 10, 5, 1, 13, 8, 12, 7, 14, 4, 11, 6, 2, 9]"
68,4.254376406384178,10.567850815678291,8.964616775512695,[11.  4.  1. 12.  2.  9. 14. 13.  3.  7.  5.  6.  8. 10.  0.],"[14, 13, 3, 6, 1, 9, 4, 2, 11, 12, 0, 10, 5, 8, 7]"
69,5.160250878972343,9.434935086766515,12.320724487304688,[ 7.  4.  6. 10.  3. 12.  9.  8. 13. 14.  2.  5.  1. 11.  0.],"[14, 2, 7, 4, 5, 0, 13, 8, 12, 9, 1, 11, 3, 6, 10]"
70,4.229358048579119,10.810451556720556,10.671868324279785,[14.  3.  8. 13.  1.  6.  2.  7.  4.  9. 12. 11. 10.  5.  0.],"[12, 14, 11, 9, 4, 6, 10, 1, 2, 3, 0, 5, 7, 13, 8]"
71,4.067134987958082,11.173032823009459,11.1966552734375,[ 3.  2.  9. 12. 11.  6. 13.  8.  5. 14. 10.  1.  4.  7.  0.],"[13, 5, 8, 0, 6, 3, 7, 11, 12, 4, 9, 14, 2, 10, 1]"
72,4.374362495763784,10.583706388183604,10.551118850708008,[ 8.  2.  4.  3.  7. 13. 12.  5. 14. 11. 10.  1.  9.  6.  0.],"[10, 12, 11, 5, 2, 13, 1, 3, 4, 14, 0, 8, 7, 6, 9]"
73,4.457685726188718,9.667967677059975,9.740446090698242,[ 5.  2.  4.  3.  7. 13. 14.  6.  1.  9. 10. 11.  8. 12.  0.],"[12, 8, 11, 0, 9, 5, 2, 10, 3, 4, 1, 6, 14, 7, 13]"
74,5.403394997017325,12.56842801429433,12.783554077148438,[ 3.  6.  8. 10.  2. 11.  1.  7.  4. 12. 13.  5. 14.  9.  0.],"[0, 5, 3, 14, 7, 10, 2, 9, 6, 4, 11, 12, 8, 13, 1]"
75,4.169600874140491,10.759483601025396,10.703908920288086,[12.  7.  4.  3. 11.  9. 14.  6.  5.  1. 10. 13.  8.  2.  0.],"[2, 13, 8, 4, 12, 14, 3, 0, 7, 10, 5, 11, 9, 1, 6]"
76,4.770706020391322,11.766738915332944,11.591456413269043,[ 6.  2.  5. 11. 13. 14.  8. 12.  4.  1.  9.  7. 10.  3.  0.],"[12, 14, 10, 2, 3, 1, 8, 13, 11, 9, 0, 4, 7, 5, 6]"
77,3.868036569557265,10.697621976867504,11.210428237915039,[ 7. 14.  9. 10.  2.  1.  8. 11.  5. 12.  6. 13.  3.  4.  0.],"[2, 1, 7, 13, 12, 10, 11, 9, 8, 0, 14, 5, 6, 4, 3]"
78,5.079029631314897,11.046776038951776,11.095069885253906,[ 5. 13.  3. 10.  8.  2. 11.  4.  9.  6.  7.  1. 12. 14.  0.],"[14, 2, 0, 7, 5, 13, 10, 3, 12, 1, 6, 8, 4, 9, 11]"
79,3.8726166473289547,10.882418262008747,11.631701469421387,[12.  7. 14.  8. 11. 10.  9.  2. 13.  4.  3.  1.  5.  6.  0.],"[3, 14, 1, 4, 5, 11, 0, 6, 10, 13, 12, 9, 8, 7, 2]"
80,4.931881179316765,10.254274654521902,10.773138046264648,[14. 13.  2.  5.  7.  4.  6. 11.  3.  9.  8. 10. 12.  1.  0.],"[3, 6, 14, 11, 9, 8, 12, 0, 10, 1, 4, 13, 5, 2, 7]"
81,3.754956701875839,10.826271530551834,10.498026847839355,[ 1. 11. 14.  3.  2.  7.  8.  5.  9. 13.  4. 12.  6. 10.  0.],"[3, 6, 9, 1, 10, 4, 11, 5, 12, 7, 14, 8, 13, 0, 2]"
82,4.361161704943751,11.680338239374906,11.901070594787598,[10. 13.  4.  8.  6.  3. 11.  5. 14. 12.  9.  1.  7.  2.  0.],"[3, 5, 11, 12, 13, 6, 4, 1, 10, 8, 0, 2, 7, 14, 9]"
83,4.187885258562889,9.74125381992857,10.952728271484375,[12.  6.  3.  5.  8. 11.  7.  9.  2. 10. 14.  4. 13.  1.  0.],"[3, 14, 11, 9, 4, 7, 6, 0, 10, 2, 12, 13, 1, 8, 5]"
84,4.6911600333348735,8.685609378127557,11.656702041625977,[ 9. 11. 12.  6. 14.  1.  5.  4. 10.  2.  8. 13.  7.  3.  0.],"[1, 5, 6, 14, 4, 7, 11, 12, 10, 9, 3, 0, 2, 13, 8]"
85,4.193601932178138,11.236972432439467,10.367704391479492,[ 0.  1.  9.  3.  6.  7. 14.  5. 12. 10.  8.  2. 13. 11.  4.],"[13, 6, 3, 1, 11, 9, 4, 2, 0, 8, 5, 7, 12, 14, 10]"
86,4.184759229699838,12.564603987783112,11.864679336547852,[12.  5. 13.  3.  9.  8.  4.  1.  6.  2. 11. 14.  7. 10.  0.],"[7, 13, 12, 10, 14, 5, 6, 2, 0, 4, 1, 8, 11, 9, 3]"
87,5.006354026165866,11.124917433843633,11.2297945022583,[ 9.  1.  7. 14.  4.  6.  5.  2.  8. 12. 13. 11. 10.  3.  0.],"[13, 0, 12, 1, 9, 5, 8, 11, 6, 10, 3, 2, 4, 14, 7]"
88,4.397417523535216,11.078718682579032,11.407093048095703,[10.  6.  8.  7.  3. 14. 13.  1.  4.  5.  2. 12. 11.  9.  0.],"[4, 11, 12, 1, 8, 5, 3, 2, 7, 6, 14, 13, 10, 9, 0]"
89,4.70326059198332,10.957241846661992,10.70335865020752,[ 0.  7.  2. 11. 13.  1.  8. 12.  5.  4.  3. 14.  6.  9. 10.],"[10, 7, 9, 6, 13, 2, 0, 14, 4, 5, 3, 11, 12, 1, 8]"
90,5.38405742707344,12.223752632612557,12.467510223388672,[13. 14. 12.  2.  9.  7. 11.  4.  6.  8.  5. 10.  3.  1.  0.],"[14, 0, 2, 6, 13, 5, 10, 3, 1, 12, 11, 8, 7, 9, 4]"
91,4.538307032232861,10.991799107991998,12.7087984085083,[ 9. 14.  5. 12.  3.  7.  8.  6.  2.  1.  4. 11. 13. 10.  0.],"[9, 8, 10, 0, 2, 14, 11, 7, 13, 12, 1, 6, 5, 3, 4]"
92,4.484176896141331,11.172642543475835,11.709190368652344,[13.  2. 14.  8.  1.  6.  4. 12. 10.  7.  3. 11.  5.  9.  0.],"[3, 2, 0, 7, 11, 12, 10, 9, 5, 4, 14, 8, 13, 6, 1]"
93,4.548361472313042,10.632830347915863,11.240150451660156,[ 4. 12.  9. 11.  6.  1.  3.  8.  2. 13.  7.  5. 14. 10.  0.],"[13, 12, 10, 14, 7, 5, 0, 6, 9, 3, 2, 4, 11, 8, 1]"
94,4.775569672446887,12.10188662252279,12.669647216796875,[14.  1.  7.  4. 13.  8.  5.  3.  6. 12. 10.  2.  9. 11.  0.],"[13, 5, 8, 3, 2, 1, 4, 9, 6, 0, 14, 7, 10, 11, 12]"
95,3.9840844771208177,11.223911867602059,10.905689239501953,[ 2. 11. 10.  7.  6.  9.  4. 14. 13.  8.  5. 12.  3.  1.  0.],"[5, 4, 3, 2, 0, 6, 11, 10, 12, 8, 7, 1, 9, 13, 14]"
96,4.041349765063658,9.867495559228871,9.995681762695312,[12.  7. 13. 14.  8.  4.  5.  6.  3.  1.  9. 10. 11.  2.  0.],"[1, 0, 2, 11, 6, 5, 9, 10, 3, 4, 14, 13, 8, 12, 7]"
97,4.545520681565735,9.531381828441273,11.612214088439941,[ 7. 11. 13.  4.  2.  3.  5.  1.  9. 12. 14.  6.  8. 10.  0.],"[10, 7, 9, 5, 1, 11, 6, 8, 0, 2, 3, 12, 4, 14, 13]"
98,4.598037563815067,9.848286384100025,10.882837295532227,[ 3. 10.  6. 14.  5.  7. 11.  9.  1.  4.  8. 12. 13.  2.  0.],"[14, 3, 11, 9, 7, 0, 10, 6, 5, 2, 4, 1, 12, 8, 13]"
99,4.233811201334148,9.53547152018611,11.60667896270752,[ 5. 10. 12.  2.  6.  9.  1.  4. 14.  7. 13.  8. 11.  3.  0.],"[11, 0, 2, 3, 1, 8, 12, 9, 6, 14, 5, 10, 4, 7, 13]"
100,4.685688176677535,10.997895554953432,12.397506713867188,[ 5.  1.  2. 12.  9.  7. 10.  3. 14.  6.  4. 13. 11.  8.  0.],"[6, 13, 4, 11, 8, 0, 14, 10, 5, 9, 2, 7, 12, 3, 1]"
101,4.318335897530877,9.70553678596837,9.48904037475586,[14.  9. 10.  6.  1.  8.  5. 11.  4.  2.  3. 12.  7. 13.  0.],"[4, 10, 14, 13, 7, 6, 9, 0, 11, 1, 8, 5, 12, 3, 2]"
102,4.175557734247104,10.5398067112497,10.841203689575195,[ 5.  4.  9.  3.  8.  7.  1. 10. 11.  2. 14. 12. 13.  6.  0.],"[5, 14, 10, 11, 2, 0, 4, 8, 6, 9, 7, 1, 3, 13, 12]"
103,4.220661554743659,11.29758448862713,12.094183921813965,[ 1.  4. 14.  5. 11.  7. 12. 10.  9.  2.  6.  8. 13.  3.  0.],"[10, 9, 0, 7, 5, 1, 12, 13, 6, 3, 2, 11, 4, 14, 8]"
104,4.360907000759354,10.277629040379143,11.242768287658691,[ 6.  5.  4. 14. 11. 10.  8.  7.  2.  1. 13.  3.  9. 12.  0.],"[2, 7, 0, 1, 8, 11, 3, 9, 13, 10, 14, 12, 6, 4, 5]"
105,4.692208978138731,11.38238344220368,12.107419967651367,[ 0. 10. 11.  7.  4.  9.  1. 14. 12.  3.  5. 13.  8.  6.  2.],"[0, 8, 11, 9, 6, 10, 7, 13, 1, 2, 5, 4, 3, 14, 12]"
106,4.512440222359397,10.29325583391175,10.54869556427002,[ 0.  5.  9.  6.  2. 10.  8.  7.  4.  3. 12. 13. 11. 14.  1.],"[11, 12, 10, 14, 13, 7, 4, 3, 2, 8, 1, 6, 5, 9, 0]"
107,4.791377927139275,10.454358793372675,10.8250150680542,[ 4. 11. 10.  8.  6.  9. 14.  5.  2. 12.  3. 13.  7.  1.  0.],"[8, 10, 4, 11, 1, 6, 9, 12, 14, 0, 3, 5, 7, 13, 2]"
108,4.234668470057265,12.548554277028282,11.192832946777344,[ 5.  4. 10. 14.  1. 13.  7. 11.  2.  3.  6.  9.  8. 12.  0.],"[3, 13, 1, 14, 12, 2, 6, 0, 11, 4, 5, 8, 10, 7, 9]"
109,4.450347644840964,10.237360701612841,10.585705757141113,[ 0.  1.  8.  9.  4.  5. 12. 14. 13. 11.  6.  3. 10.  2.  7.],"[14, 3, 13, 12, 2, 7, 9, 6, 10, 5, 8, 1, 11, 4, 0]"
110,4.671531745918945,11.426071721825917,11.203516006469727,[13. 12. 11.  8. 14. 10.  9.  5.  4.  2.  6.  3.  7.  1.  0.],"[5, 10, 0, 9, 2, 4, 14, 6, 12, 13, 1, 8, 7, 3, 11]"
111,4.428790155980391,9.066497084146155,9.97767448425293,[ 1. 12.  4.  8.  6.  5.  7.  9. 11.  3. 10. 13. 14.  2.  0.],"[1, 9, 4, 11, 0, 7, 6, 5, 8, 12, 2, 14, 3, 13, 10]"
112,4.5603206496408335,10.876669164269318,10.937555313110352,[ 9. 14.  8.  1.  7.  2.  6. 13.  3. 10. 12.  4. 11.  5.  0.],"[14, 13, 0, 6, 3, 2, 7, 8, 1, 5, 9, 11, 12, 4, 10]"
113,4.689516729092355,10.432180263695951,11.845283508300781,[ 3. 11. 10. 12.  4.  5. 14.  2. 13.  7.  8.  6.  1.  9.  0.],"[6, 9, 4, 2, 8, 7, 1, 3, 13, 12, 11, 0, 10, 5, 14]"
